City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dudinka,69.4058,86.1778,48.34,64,1,8.38,RU,1722876385
1,uribia,11.7139,-72.266,94.08,44,85,8.17,CO,1722876974
2,tazovsky,67.4667,78.7,48.61,65,96,5.97,RU,1722876457
3,edinburgh of the seven seas,-37.0676,-12.3116,57.0,87,64,13.18,SH,1722876976
4,otjiwarongo,-20.4637,16.6477,67.73,20,0,0.69,NA,1722876977
5,cadale,2.7603,46.3222,76.93,80,13,9.27,SO,1722876978
6,misratah,32.3754,15.0925,86.72,53,0,4.76,LY,1722876979
7,blackmans bay,-43.0167,147.3167,50.74,74,95,0.89,AU,1722876980
8,vorkuta,67.5,64.0,48.6,66,12,3.55,RU,1722876981
9,barrouallie,13.2333,-61.2667,82.02,79,40,2.57,VC,1722876982
10,ushuaia,-54.8,-68.3,31.62,74,20,2.06,AR,1722876906
11,nuku'alofa,-21.1333,-175.2,66.54,82,20,1.54,TO,1722876984
12,hawaiian paradise park,19.5933,-154.9731,70.9,94,75,4.63,US,1722876985
13,georgetown,5.4112,100.3354,84.13,78,20,1.54,MY,1722876987
14,qaqortoq,60.7167,-46.0333,49.08,68,100,1.5,GL,1722876989
15,lai chau,22.3997,103.4517,66.07,97,92,1.23,VN,1722876990
16,lata,40.1629,-8.3327,83.48,47,0,4.84,PT,1722876991
17,badger,64.8,-147.5333,69.08,72,40,2.57,US,1722876541
18,lihue,21.9789,-159.3672,76.24,82,0,8.75,US,1722876504
19,albany,42.6001,-73.9662,85.95,62,39,0.45,US,1722876989
20,port-aux-francais,-49.35,70.2167,33.3,68,20,4.11,TF,1722876996
21,olonkinbyen,70.9221,-8.7187,43.92,95,96,2.67,SJ,1722876403
22,elblag,54.1522,19.4088,69.98,79,72,4.95,PL,1722876998
23,guane,22.2025,-84.0875,88.3,66,71,3.4,CU,1722876999
24,lebu,-37.6167,-73.65,51.42,66,100,2.27,CL,1722877001
